STATION ID,STATUS,RESULT
507,-76,UNDERFLOW
508,116,OVERFLOW
509,-74,UNDERFLOW
510,-154,UNDERFLOW
511,-150,UNDERFLOW
514,-133,UNDERFLOW
515,205,OVERFLOW
517,-44,UNDERFLOW
518,154,OVERFLOW
519,31,OVERFLOW
520,80,OVERFLOW
522,-10,UNDERFLOW
523,-218,UNDERFLOW
524,81,OVERFLOW
525,-135,UNDERFLOW
526,11,OVERFLOW
527,-23,UNDERFLOW
528,-6,UNDERFLOW
529,8,OVERFLOW
530,20,OVERFLOW
531,5,OVERFLOW
532,-89,UNDERFLOW
533,-8,UNDERFLOW
534,48,OVERFLOW
535,81,OVERFLOW
536,-24,UNDERFLOW
537,-39,UNDERFLOW
538,-16,UNDERFLOW
539,-19,UNDERFLOW
540,-26,UNDERFLOW
541,8,OVERFLOW
542,-6,UNDERFLOW
543,-2,UNDERFLOW
544,-107,UNDERFLOW
545,26,OVERFLOW
546,36,OVERFLOW
547,158,OVERFLOW
548,-20,UNDERFLOW
549,22,OVERFLOW
550,18,OVERFLOW
551,130,OVERFLOW
552,-213,UNDERFLOW
553,-1,UNDERFLOW
554,112,OVERFLOW
555,23,OVERFLOW
556,-9,UNDERFLOW
557,4,OVERFLOW
558,-5,UNDERFLOW
559,2,OVERFLOW
560,-10,UNDERFLOW
561,4,OVERFLOW
562,1,OVERFLOW
563,1,OVERFLOW
564,5,OVERFLOW
565,-10,UNDERFLOW
566,18,OVERFLOW
567,-6,UNDERFLOW
568,4,OVERFLOW
569,3,OVERFLOW
570,79,OVERFLOW
571,2,OVERFLOW
572,-26,UNDERFLOW
573,-40,UNDERFLOW
574,5,OVERFLOW
575,-13,UNDERFLOW
576,5,OVERFLOW
577,4,OVERFLOW
578,-26,UNDERFLOW
579,-32,UNDERFLOW
580,1,OVERFLOW
581,34,OVERFLOW
582,12,OVERFLOW
583,-22,UNDERFLOW
584,11,OVERFLOW
585,21,OVERFLOW
586,57,OVERFLOW
587,-6,UNDERFLOW
588,-17,UNDERFLOW
589,76,OVERFLOW
590,-122,UNDERFLOW
591,41,OVERFLOW
592,-177,UNDERFLOW
593,-4,UNDERFLOW
594,-148,UNDERFLOW
595,18,OVERFLOW
596,-45,UNDERFLOW
597,112,OVERFLOW
598,170,OVERFLOW
599,210,OVERFLOW
600,-163,UNDERFLOW
601,134,OVERFLOW
602,-151,UNDERFLOW
603,-160,UNDERFLOW
604,-12,UNDERFLOW
605,69,OVERFLOW
606,-99,UNDERFLOW
607,41,OVERFLOW
608,-77,UNDERFLOW
609,30,OVERFLOW
610,-29,UNDERFLOW
611,-15,UNDERFLOW
612,20,OVERFLOW
613,-10,UNDERFLOW
614,-15,UNDERFLOW
615,158,OVERFLOW
616,19,OVERFLOW
617,-11,UNDERFLOW
618,-135,UNDERFLOW
619,64,OVERFLOW
620,-308,UNDERFLOW
621,25,OVERFLOW
622,94,OVERFLOW
623,-226,UNDERFLOW
624,-55,UNDERFLOW
625,-6,UNDERFLOW
626,-228,UNDERFLOW
627,-106,UNDERFLOW
628,-97,UNDERFLOW
630,19,OVERFLOW
631,-129,UNDERFLOW
632,30,OVERFLOW
635,29,OVERFLOW
636,-11,UNDERFLOW
637,109,OVERFLOW
638,78,OVERFLOW
639,35,OVERFLOW
640,7,OVERFLOW
641,46,OVERFLOW
642,10,OVERFLOW
643,44,OVERFLOW
644,44,OVERFLOW
645,67,OVERFLOW
646,-9,UNDERFLOW
647,5,OVERFLOW
648,8,OVERFLOW
649,10,OVERFLOW
650,1,OVERFLOW
651,4,OVERFLOW
652,4,OVERFLOW
653,4,OVERFLOW
654,-22,UNDERFLOW
655,39,OVERFLOW
656,102,OVERFLOW
657,-47,UNDERFLOW
658,59,OVERFLOW
659,-8,UNDERFLOW
660,41,OVERFLOW
661,10,OVERFLOW
662,3,OVERFLOW
663,67,OVERFLOW
664,46,OVERFLOW
665,-3,UNDERFLOW
666,18,OVERFLOW
669,0,BALANCED
671,83,OVERFLOW
672,1,OVERFLOW
673,22,OVERFLOW
